AccountNum,Name,PledgeAmount,Duration,PaymentPeriod,LastTransactionDate,NextExpectedPayment,AccumulatedAmout,RemainingAmount,WeeksLeft,SignupDate,ThankyouLetterSentDate,NA,NotificationDate,TicketDate,TicketCategory,TicketResult
88,088,10000,3y,3m,2014/3/16,2014/6/30,1000.00,9000.00,11,1/8/14,1/9/14,1,,,,
89,089,50000,,,2013/12/15,2014/12/15,7000.00,43000.00,35,1/8/14,1/9/14,1,,,,
90,090,10000,8y,12m,2013/12/15,2014/12/15,1250.00,8750.00,35,1/8/14,1/9/14,1,,,,
91,091,4000,3y,12m,2013/12/15,2014/12/15,4000.00,-,35,1/8/14,1/9/14,1,,,,
92,092,10000,3y,1m,2014/3/31,2014/4/30,834.00,9166.00,2,1/8/14,1/9/14,1,,,,
93,093,15000,5y,12m,,2014/4/30,-,15000.00,2,1/8/14,1/9/14,1,,,,
94,094,10000,5y,3m,2014/1/26,2014/7/26,1000.00,9000.00,14,1/8/14,1/9/14,1,,,,
95,095,15000,3y,2w,2014/4/6,2014/4/20,1344.00,13656.00,0,1/8/14,1/9/14,1,,,,
96,096,10000,3y,1m,2014/2/16,2014/3/30,556.00,9444.00,-3,1/8/14,1/9/14,1,,4/10/14,OD,
97,097,5000,3y,6m,2014/1/5,2014/7/5,1000.00,4000.00,11,1/8/14,1/9/14,1,,,,
98,098,25000,6y,3m,2014/1/5,2014/4/30,1000.00,24000.00,2,1/8/14,1/9/14,1,2014/4/10 이메일 발송,,,
99,099,10000,3y,1m,2014/2/2,2014/3/30,556.00,9444.00,-3,1/15/14,1/16/14,1,,4/10/14,OD,
100,100,30000,3y,1m,2014/4/6,2014/5/30,3332.00,26668.00,6,1/22/14,1/23/14,1,,,,
101,101,10000,50m,1m,,2014/7/30,-,10000.00,15,2/5/14,2/6/14,1,,,,
102,102,20000,10y,6m,2014/2/16,2014/8/16,1000.00,19000.00,17,3/3/14,3/6/14,3,,,,
103,103,20000,10y,6m,2014/2/16,2014/8/16,1000.00,19000.00,17,3/3/14,3/6/14,3,,,,
104,104,20000,,,,2017/1/30,-,20000.00,,3/3/14,3/6/14,3,,,,
105,105,7500,5y,1m,2014/3/2,2014/4/30,120.00,7380.00,2,3/23/14,3/26/14,3,,,,
106,106,5000,5y,12m,2014/3/16,2015/3/16,1000.00,4000.00,0,3/23/14,3/26/14,3,,,,
107,107,10000,10y,1m,2014/4/13,2014/5/30,500.00,9500.00,6,3/23/14,3/26/14,3,,,,
108,108,1080,3y,1m,,2014/4/6,-,1080.00,,3/30/14,4/9/14,10,,,,
109,109,3000,3y,12m,,1900/1/1,-,3000.00,,3/30/14,4/9/14,10,,,,
